,V1
ITGA6,0.09
KLHL18,0.09
AC024022.1,0.09
SLITRK4,0.09
SPTSSA,0.09
DMRTA2,0.09
BATF3,0.09
CYP27C1,0.09
AC131094.1,0.09
DMD,0.09
SCT,0.09
RPS29,0.09
RPS2,0.09
ALPL,0.09
LINC02613,0.09
ITM2C,0.09
VASH1,0.09
C15orf65,0.09
UACA,0.09
PEMT,0.09
STMN1,0.09
PTCH2,0.09
CAMP,0.09
GSTA2,0.09
PHKA1,0.09
LZTS1,0.09
GLIPR2,0.09
ST6GAL1,0.09
RPS10,0.09
SLC26A3,0.09
RPL23A,0.09
CDH4,0.09
PLOD1,0.09
ELOVL6,0.09
RNF145,0.09
TMEM14A,0.09
MRPL18,0.09
RPS3,0.09
OAT,0.09
LINC01250,0.09
EFEMP1,0.09
PLSCR4,0.09
ANKRD34B,0.09
CCDC85B,0.09
SLC25A16,0.09
SGCG,0.09
RPL21,0.09
GTF3A,0.09
AC125421.1,0.09
FMN2,0.08
GPR160,0.08
NMU,0.08
HIGD2A,0.08
PPP1R35,0.08
CLEC2L,0.08
PQBP1,0.08
IGBP1.AS2,0.08
LYPLA1,0.08
INSYN1.AS1,0.08
RPL3,0.08
LURAP1,0.08
DAPL1,0.08
CDCA7,0.08
REST,0.08
TMSB4X,0.08
LINC01164,0.08
AC073578.1,0.08
GLRX5,0.08
CHODL,0.08
AL353807.5,0.08
PARP1,0.08
MZT2B,0.08
RPL29,0.08
ARPC1A,0.08
FGF13,0.08
HMGB3,0.08
SDC2,0.08
AL353572.4,0.08
SERPING1,0.08
RPL41,0.08
UNC119,0.08
SAMHD1,0.08
AC011474.1,0.08
CTU1,0.08
NEFH,0.08
ID3,0.08
RPS7,0.08
GYPC,0.08
RPL32,0.08
RPS23,0.08
RPL10A,0.08
PDCD2,0.08
TBX22,0.08
RPL39,0.08
SAC3D1,0.08
SIDT2,0.08
RPS15A,0.08
RPL13A,0.08
PDE4B,0.08
SLC5A7,0.08
PCOLCE2,0.08
HIST1H4C,0.08
HDAC9,0.08
RN7SL581P,0.08
LPAR4,0.08
GCNT1,0.08
EIF3F,0.08
GABARAPL1,0.08
SMAGP,0.08
UQCRH,0.08
AGL,0.08
CCDC74A,0.08
RPL14,0.08
TRIML2,0.08
RPL7A,0.08
DIXDC1,0.08
LINC02633,0.08
CACNA1C.AS2,0.08
ADGRD1,0.08
MMP25,0.08
RPL26,0.08
RPS28,0.08
APOC1P1,0.08
SIGLECL1,0.08
OLFML3,0.08
PMVK,0.08
RPL34,0.08
RPS18,0.08
GK,0.08
LINC00534,0.08
AL162725.2,0.08
BX469938.1,0.08
CPNE8.AS1,0.08
LACTB,0.08
CARHSP1,0.08
AL121894.3,0.08
C2CD4C,0.08
NDUFA2,0.08
NUDT1,0.08
SMKR1,0.08
RBM3,0.08
ANKRD18B,0.08
GSTP1,0.08
UBTD1,0.08
TAC3,0.08
LPAR6,0.08
IER2,0.08
EIF3K,0.08
RPS27,0.08
GPX1,0.08
PLAC8,0.08
RPS3A,0.08
Z99289.2,0.08
CA13,0.08
ABCC2,0.08
WNT5B,0.08
EIF3L,0.08
AL354712.1,0.08
ADCY1,0.08
RPS4X,0.08
EBF2,0.08
RPL7,0.08
LY6E,0.08
HABP4,0.08
GAU1,0.08
OR7E156P,0.08
TMEM51,0.08
UPP2,0.08
H1FX,0.08
AC116565.1,0.08
TRIM2,0.08
RPL37,0.08
CMYA5,0.08
PEG10,0.08
AWAT2,0.08
USP28,0.08
CCPG1,0.08
LSM7,0.08
NOP53,0.08
MX1,0.08
RPL22,0.07
FAAH,0.07
ERMN,0.07
EEF1B2,0.07
RPL9,0.07
ATP6AP1L,0.07
LINC02201,0.07
SCGB3A2,0.07
RPS14,0.07
RSPH10B2,0.07
SLC25A6,0.07
CA8,0.07
POU5F1B,0.07
RPS6,0.07
SIGIRR,0.07
TSPAN18,0.07
MYL6B,0.07
COX6A1,0.07
RPLP1,0.07
IL19,0.07
COPS9,0.07
RRP9,0.07
MUC4,0.07
TIMM17B,0.07
PIN4,0.07
RPL8,0.07
PRRX2,0.07
RPL27A,0.07
RNF214,0.07
TET1,0.07
GPAM,0.07
MLEC,0.07
SAP18,0.07
HCN2,0.07
NPAS1,0.07
RPL18,0.07
FRGCA,0.07
ATP13A2,0.07
RPS27A,0.07
RPL37A,0.07
MUC21,0.07
SGK1,0.07
SLC25A5,0.07
SELENOH,0.07
LINC00545,0.07
NAA38,0.07
ST8SIA5,0.07
RABAC1,0.07
CENPS,0.07
LINC00467,0.07
NEB,0.07
CEP19,0.07
RPL35A,0.07
AKAP7,0.07
AC006333.2,0.07
CENPVL3,0.07
CNPY2,0.07
SRSF9,0.07
EBPL,0.07
ATP10A,0.07
LUC7L3,0.07
CDC42EP4,0.07
PQLC1,0.07
AF240627.1,0.07
LINC02573,0.07
LINC00461,0.07
PRDM1,0.07
LAGE3,0.07
TMEM64,0.07
LUZP2,0.07
AC004086.1,0.07
TSR3,0.07
AC022706.1,0.07
LRRC59,0.07
AVP,0.07
RPS15,0.07
AL078622.1,0.07
SRM,0.07
FRG2C,0.07
SNCA,0.07
AC093840.2,0.07
DND1,0.07
AL445465.1,0.07
PIM2,0.07
MORC4,0.07
AC087521.1,0.07
AC107031.1,0.07
RPS26,0.07
AL139082.1,0.07
FRMD6.AS1,0.07
SNRNP25,0.07
MT1L,0.07
TFAP2C,0.07
RFPL1,0.07
RPL5,0.07
MFSD4A,0.07
RPL15,0.07
ANKRD55,0.07
WDR55,0.07
SNX10,0.07
RPL30,0.07
KCNQ3,0.07
NRBP2,0.07
NMT2,0.07
GRK5,0.07
RPGRIP1,0.07
MT1E,0.07
AATF,0.07
ATP5F1D,0.07
AC007326.5,0.07
CSTB,0.07
LAMTOR5,0.07
H3F3A,0.07
MZT2A,0.07
AC018450.1,0.07
C4orf3,0.07
IRF4,0.07
NR5A1,0.07
TUBBP5,0.07
RNASEH2C,0.07
MRPL51,0.07
OIP5.AS1,0.07
ZNF875,0.07
MRPL40,0.07
AL031280.1,0.07
RHOC,0.07
SNRPE,0.07
MRPL55,0.07
COX5B,0.07
MELTF,0.07
AC097382.3,0.07
FAM13A,0.07
TMEM139,0.07
BAMBI,0.07
COMMD6,0.07
OXA1L,0.07
AC008050.1,0.07
HM13.AS1,0.07
CBFA2T2,0.07
PPP1R14A,0.07
RPS16,0.07
TSEN34,0.07
A4GALT,0.07
MT.CYB,0.07
WNT2B,0.06
IL10,0.06
RPL31,0.06
TEC,0.06
SAYSD1,0.06
CCDC71L,0.06
UQCRB,0.06
SSNA1,0.06
LMO2,0.06
TRMT112,0.06
WDHD1,0.06
RPL4,0.06
RPS17,0.06
METTL9,0.06
ITGB3,0.06
IFT172,0.06
LBH,0.06
AC092569.1,0.06
CXCR4,0.06
PNKD,0.06
LYRM4,0.06
HIST1H1D,0.06
NCR3,0.06
CNR1,0.06
PHTF2,0.06
KDM7A.DT,0.06
MRPL15,0.06
GNG3,0.06
TMEM134,0.06
NDUFB1,0.06
FAM173A,0.06
PALB2,0.06
ETV4,0.06
GNAL,0.06
PSRC1,0.06
CYS1,0.06
BRK1,0.06
LINC02033,0.06
NCBP2,0.06
BEND4,0.06
MEI4,0.06
MYB,0.06
CHST12,0.06
ARPC1B,0.06
PRDX4,0.06
EEF1D,0.06
TBATA,0.06
RPS24,0.06
RPP30,0.06
AICDA,0.06
PRPH,0.06
CENPJ,0.06
PNP,0.06
SNAPC1,0.06
PIF1,0.06
APRT,0.06
FKBP1A,0.06
EML2.AS1,0.06
PNRC2,0.06
KRTCAP3,0.06
BIN1,0.06
NDUFB3,0.06
MLPH,0.06
AC012485.2,0.06
RAC1,0.06
VSTM2A,0.06
ATP5MF,0.06
NRCAM,0.06
TKTL1,0.06
RPL10,0.06
AARD,0.06
RPL12,0.06
MARCH8,0.06
IFIT5,0.06
AL157388.1,0.06
PYCARD.AS1,0.06
RPL27,0.06
SOX18,0.06
RPL11,0.06
AL591178.1,0.06
SHE,0.06
DES,0.06
RFC1,0.06
CCNO,0.06
COX7A2,0.06
HMGN3,0.06
CCM2,0.06
COX6C,0.06
C9orf16,0.06
RPS6KB2,0.06
CALHM2,0.06
RPL13,0.06
DCC,0.06
RAB11B.AS1,0.06
SERTAD3,0.06
TMEM160,0.06
RPS9,0.06
ADI1,0.06
GRM2,0.06
SELENOK,0.06
TAGLN3,0.06
AL138885.3,0.06
SNHG5,0.06
OSBPL3,0.06
PTPN12,0.06
WASL,0.06
RPL36A,0.06
EHBP1L1,0.06
ELOVL3,0.06
LINC02620,0.06
PFDN5,0.06
LINC02452,0.06
MRPS11,0.06
AC093516.1,0.06
IL4R,0.06
MT2A,0.06
ANAPC11,0.06
HMG20B,0.06
LIN7B,0.06
RPL23AP82,0.06
RPS8,0.06
NOL7,0.06
MTURN,0.06
ZNF705G,0.06
SPATA31E1,0.06
ATP6V1G1,0.06
MRPL23,0.06
PLAAT3,0.06
MRPL11,0.06
DERA,0.06
COX14,0.06
PCDH20,0.06
ROGDI,0.06
DCTN5,0.06
SNHG16,0.06
PPDPF,0.06
NDUFA7,0.06
TRIR,0.06
ZNF428,0.06
APOC1,0.06
TRPM4,0.06
AC018755.3,0.06
LAD1,0.06
LAPTM4A,0.06
PLAAT1,0.06
NDUFC1,0.06
AC008875.3,0.06
MYO1G,0.06
SHROOM2,0.06
PTCHD1,0.06
TPD52,0.06
HRAS,0.06
POLR2L,0.06
AC024293.1,0.06
NUDT8,0.06
ANAPC15,0.06
GAS6,0.06
NPC2,0.06
SLIRP,0.06
RPL17,0.06
RPS21,0.06
TIMM13,0.06
RPL36,0.06
ALKBH7,0.06
ZNF66,0.06
PINK1,0.06
FAM98A,0.06
AC109587.1,0.06
PROS1,0.06
ETV5,0.06
TWISTNB,0.06
AQP1,0.06
AC006001.3,0.06
TMEM243,0.06
NDUFA1,0.06
DNAJC4,0.06
FIBP,0.06
AP002001.1,0.06
ARID5B,0.06
GSTO2,0.06
CALY,0.06
HNRNPA1,0.06
ABHD12B,0.06
PLA2G4F,0.06
SERF2,0.06
TMEM256,0.06
RANGRF,0.06
RPL19,0.06
DYNLRB1,0.06
GADD45GIP1,0.06
RYR1,0.06
MIF,0.06
TIAM1,0.06
MYCL,0.06
LINC01356,0.06
SDHC,0.06
COX7A2L,0.06
LSM3,0.06
TBC1D14,0.06
BST1,0.06
ABT1,0.06
CCDC167,0.06
LINC01558,0.06
RPA3,0.06
LSM5,0.06
CHCHD2,0.06
COX7B,0.06
MLXIP,0.06
ATP5MPL,0.06
CRYM,0.06
YPEL3,0.06
TMEM11,0.06
FAM222B,0.06
PMAIP1,0.06
CDC25B,0.06
CD320,0.06
AC011474.4,0.06
ASAP3,0.06
ZNF593,0.06
YBX1,0.06
RAB3B,0.06
KTI12,0.06
GPX7,0.06
PTH2R,0.06
CCDC12,0.06
ABHD14B,0.06
CCNL2P1,0.06
BTF3,0.06
HINT1,0.06
SDCBP,0.06
EIF3E,0.06
RPL35,0.06
MRPL41,0.06
SCGB1D2,0.06
PCED1B,0.06
FAM155A,0.06
TGM5,0.06
PDCD7,0.06
AC103874.1,0.06
PGP,0.06
KIF1C,0.06
HEXIM2,0.06
TXNL4A,0.06
HCK,0.06
RASL10A,0.06
SSU72,0.05
AL390957.1,0.05
MRPL33,0.05
MTA3,0.05
SNRPG,0.05
VAMP8,0.05
HAGLROS,0.05
NDUFAF3,0.05
AC106864.1,0.05
NDUFS6,0.05
AL021978.1,0.05
ZNF204P,0.05
DACH2,0.05
SEPT6,0.05
AL136317.2,0.05
LRP4,0.05
TMEM258,0.05
DRAP1,0.05
NDUFV1,0.05
ST3GAL4,0.05
LMBR1L,0.05
MRPL57,0.05
NEDD8,0.05
HAGH,0.05
ECI1,0.05
EMC6,0.05
DHRS7B,0.05
NDUFAF8,0.05
BSG,0.05
MRPS12,0.05
RPL28,0.05
TRIM28,0.05
CBR3,0.05
MRPL20,0.05
LDLRAP1,0.05
PTPRU,0.05
NDUFS5,0.05
DHCR24,0.05
MSTO1,0.05
TPRXL,0.05
MYL3,0.05
HYAL2,0.05
NDUFB4,0.05
PROM1,0.05
SHISA3,0.05
PPM1K,0.05
ANXA2R,0.05
KCNMB1,0.05
RPS12,0.05
SDHAF3,0.05
CACNA1F,0.05
NBDY,0.05
NKAPP1,0.05
AC104257.1,0.05
PRXL2C,0.05
RPLP2,0.05
MRPL17,0.05
TCP11L1,0.05
LAMTOR1,0.05
MRPL43,0.05
SUDS3,0.05
NALCN,0.05
FAM155A.IT1,0.05
RPS6KA5,0.05
SIVA1,0.05
TERB2,0.05
GCOM1,0.05
SNAPC5,0.05
NDUFB10,0.05
RMI2,0.05
TSEN54,0.05
AC021683.3,0.05
CATSPERG,0.05
DGCR6L,0.05
AURKAIP1,0.05
MCL1,0.05
MYCNOS,0.05
BRD7P2,0.05
AC008040.2,0.05
BLOC1S4,0.05
YTHDC1,0.05
MRPL36,0.05
MAST4.AS1,0.05
NEUROG1,0.05
GPSM3,0.05
AL451166.1,0.05
ALG1L5P,0.05
SEC61G,0.05
DHRSX,0.05
HSD17B10,0.05
BRWD3,0.05
PLS3,0.05
AC084768.1,0.05
ZNF706,0.05
NUP214,0.05
FXYD4,0.05
LINC00937,0.05
AC026356.2,0.05
NACA,0.05
IFI27L2,0.05
NOP10,0.05
RBPMS2,0.05
UBE2Q2,0.05
BFAR,0.05
SPAG7,0.05
SLC25A35,0.05
ABHD17A,0.05
OAZ1,0.05
NDUFA11,0.05
AC243964.2,0.05
PRMT2,0.05
ANKRD65,0.05
ASCL5,0.05
DPP10.AS1,0.05
IFIH1,0.05
UQCRC1,0.05
ZDHHC23,0.05
TRMT44,0.05
POLK,0.05
CRHBP,0.05
SEC63,0.05
ABRACL,0.05
RSBN1L,0.05
TGS1,0.05
NECAB1,0.05
PCAT7,0.05
KLF4,0.05
ENDOG,0.05
DEPDC7,0.05
RPS25,0.05
CISD1,0.05
NDUFB8,0.05
LINC00463,0.05
IRF9,0.05
DNAAF4,0.05
TMC5,0.05
HS3ST4,0.05
ASPA,0.05
RNF135,0.05
USP32,0.05
RPL38,0.05
SNRPB,0.05
UQCR11,0.05
MAP4K1,0.05
PTH2,0.05
UBE2S,0.05
RPS5,0.05
TMEM191B,0.05
TOMM22,0.05
TENT5B,0.05
FNDC5,0.05
SLC25A44,0.05
GUK1,0.05
RNASEH1,0.05
OST4,0.05
ATRAID,0.05
DPY30,0.05
SSUH2,0.05
PDHB,0.05
ATG3,0.05
ABTB1,0.05
WFS1,0.05
SNX2,0.05
SMIM19,0.05
MTFR1,0.05
C8orf76,0.05
AL356133.1,0.05
FBXO10,0.05
GKAP1,0.05
UBAC1,0.05
TIMM8B,0.05
POLR1D,0.05
NIPA2,0.05
NME4,0.05
LITAF,0.05
COA3,0.05
CCDC57,0.05
RASSF2,0.05
PIN1,0.05
TRAPPC6A,0.05
GFY,0.05
TNNT1,0.05
ISOC2,0.05
TXN2,0.05
MT.ND3,0.05
AL121759.2,0.05
SRSF10,0.05
RABGGTB,0.05
CKS1B,0.05
PTRHD1,0.05
CENPA,0.05
POLE4,0.05
UBE2F,0.05
CHCHD4,0.05
C3orf67,0.05
HEG1,0.05
SCARB2,0.05
OSTC,0.05
ANKRD31,0.05
AL138889.3,0.05
ELOVL4,0.05
SF3B5,0.05
NDUFA4,0.05
RF00012.27,0.05
MFHAS1,0.05
PHF24,0.05
C9orf135,0.05
RPS13,0.05
C1QTNF4,0.05
DGAT2,0.05
ZBTB44,0.05
HKDC1,0.05
U47924.3,0.05
YBX3,0.05
SPX,0.05
BCL11B,0.05
ADAMTSL3,0.05
VKORC1,0.05
MT1H,0.05
ACE,0.05
SRSF2,0.05
ENDOV,0.05
EIF3G,0.05
RTBDN,0.05
REX1BD,0.05
FBL,0.05
BACE2,0.05
ST6GALNAC3,0.05
LMO4,0.05
FNBP1L,0.05
HENMT1,0.05
RNASEH1.AS1,0.05
ATP5ME,0.05
NNT.AS1,0.05
EPB41L4A.AS1,0.05
HUWE1,0.05
SNHG6,0.05
SBF2.AS1,0.05
TIMM10,0.05
TSGA10IP,0.05
NDUFC2,0.05
ADAMTS15,0.05
C10orf90,0.05
SPATS2,0.05
SERP2,0.05
GPX2,0.05
ZFYVE21,0.05
PITPNA.AS1,0.05
TRAPPC1,0.05
AC090241.2,0.05
SMIM26,0.05
ZNF486,0.05
ZNF540,0.05
BCL3,0.05
ZNF296,0.05
PIH1D1,0.05
AP000432.2,0.05
MAST2,0.05
DR1,0.05
AL138900.2,0.05
GAS5,0.05
RNPEP,0.05
FKBP1B,0.05
LINC01936,0.05
ZNF638,0.05
TLX2,0.05
TMA7,0.05
LINC00960,0.05
RNF7,0.05
LIPH,0.05
DDX60,0.05
NHP2,0.05
ADTRP,0.05
H2AFV,0.05
FMC1,0.05
UXT,0.05
AC016405.3,0.05
COX8A,0.05
CDK2AP2,0.05
RET,0.05
HTR7,0.05
RGS10,0.05
TPI1,0.05
AC026356.1,0.05
SLC4A8,0.05
ABCD4,0.05
COX4I1,0.05
RPL23,0.05
KAT7,0.05
ATP5PD,0.05
AC010618.1,0.05
KXD1,0.05
COX6B1,0.05
UQCR10,0.05
POLR3H,0.05
MT.CO3,0.05
CTNNBIP1,0.05
SNHG3,0.05
BEND5,0.05
PMF1,0.05
CD1D,0.05
FEZ2,0.05
MTLN,0.05
RAF1,0.05
RAB7A,0.05
AP2M1,0.05
LARP1B,0.05
TRIM61,0.05
AC091832.1,0.05
CDO1,0.05
TXNDC15,0.05
PI16,0.05
CD109,0.05
PUDP,0.05
FAM66B,0.05
EIF3H,0.05
MAF1,0.05
CNTLN,0.05
GXYLT1P4,0.05
RASGEF1A,0.05
DNAJC9,0.05
MCMBP,0.05
AC048344.4,0.05
OSBPL8,0.05
ERP29,0.05
FBLN5,0.05
ST20,0.05
RNU6.401P,0.05
CIAO2B,0.05
HSBP1,0.05
AC012146.1,0.05
MLX,0.05
MRPS26,0.05
TMEM230,0.05
RPS19,0.05
AC010327.4,0.05
SDF2L1,0.05
ATP5PO,0.05
OAZ3,0.04
C1orf43,0.04
SRSF7,0.04
CHCHD5,0.04
IMP4,0.04
CASP10,0.04
EFHD1,0.04
PLSCR1,0.04
DNAJC19,0.04
TNK2,0.04
FBXO45,0.04
FAM200B,0.04
TMPRSS11E,0.04
DDIT4L,0.04
AC093752.1,0.04
RHOBTB3,0.04
KDM3B,0.04
MCUR1,0.04
MPLKIP,0.04
EPHB4,0.04
NDUFB2,0.04
LANCL3,0.04
PAGE5,0.04
MID2,0.04
IL13RA2,0.04
PTAR1,0.04
CDC14B,0.04
TXN,0.04
AP002381.2,0.04
FUT4,0.04
TUBGCP2,0.04
NTF3,0.04
PHB2,0.04
EIF4B,0.04
AACS,0.04
NEK3,0.04
FRMD6.AS2,0.04
AC007182.1,0.04
IFI27L1,0.04
ATP2A1.AS1,0.04
HNRNPA1P48,0.04
MT1G,0.04
AC138207.4,0.04
AC110285.6,0.04
OXLD1,0.04
MCRIP1,0.04
TGIF2,0.04
ZFAS1,0.04
TPGS1,0.04
NDUFS7,0.04
SHD,0.04
SLC44A2,0.04
SNRPD2,0.04
CALM3,0.04
LRRC4B,0.04
USP18,0.04
C22orf34,0.04
MT.CO1,0.04
MT.CO2,0.04
GRHL3,0.04
CD52,0.04
AK4,0.04
PRKACB,0.04
MGST3,0.04
ID2,0.04
SF3B6,0.04
PPM1M,0.04
COX7C,0.04
ATP6V0E1,0.04
TFAP2A,0.04
RBM24,0.04
TCF19,0.04
HDDC2,0.04
AC093627.1,0.04
AC073349.1,0.04
POLR2J,0.04
CD99P1,0.04
TCEAL8,0.04
MOSPD1,0.04
AC034114.2,0.04
HACD4,0.04
TMEM86A,0.04
COA4,0.04
DEPP1,0.04
DYNLL1,0.04
ERH,0.04
RGS6,0.04
SPTLC2,0.04
RSL24D1,0.04
CES4A,0.04
THAP11,0.04
GCSH,0.04
TRAPPC2L,0.04
C1QBP,0.04
RCVRN,0.04
YPEL2,0.04
NOTUM,0.04
SMCHD1,0.04
RBM38,0.04
RPL18A,0.04
POLR2I,0.04
NUCB1,0.04
RPS11,0.04
KLK13,0.04
MGAT3,0.04
RBX1,0.04
AP001627.1,0.04
MT.ND2,0.04
GON4L,0.04
TSTD1,0.04
HSPE1,0.04
NGEF,0.04
HYAL1,0.04
MANF,0.04
SLC35A5,0.04
FAM43A,0.04
AC135893.1,0.04
OTUD4,0.04
RPL26L1,0.04
MRPL14,0.04
GSTA1,0.04
GTF2H5,0.04
MRPS33,0.04
HR,0.04
ZHX2,0.04
VPS28,0.04
RFK,0.04
AP006287.2,0.04
NRG3,0.04
FRAT1,0.04
TMTC1,0.04
SOAT2,0.04
DHX33,0.04
AKAP1,0.04
UBALD2,0.04
CENPX,0.04
CTXN1,0.04
ZNF414,0.04
PALM3,0.04
MRPL34,0.04
AC123912.4,0.04
CLEC11A,0.04
MT.ATP6,0.04
MICOS10,0.04
ATP5IF1,0.04
IGSF8,0.04
EIF2AK2,0.04
KCNK12,0.04
ATP5MC3,0.04
NRROS,0.04
HTRA3,0.04
DRD5,0.04
ANAPC4,0.04
AC106865.1,0.04
MRS2,0.04
MRPS18B,0.04
TRAF3IP2,0.04
CENPW,0.04
AL159163.1,0.04
SSBP1,0.04
CDX4,0.04
SH3BGRL,0.04
FUNDC2,0.04
RPS20,0.04
POLR2K,0.04
NCALD,0.04
ZDHHC12,0.04
UQCC3,0.04
NDUFS8,0.04
ZNF705E,0.04
FAM238C,0.04
VENTX,0.04
TULP3,0.04
ELOB,0.04
CENPV,0.04
WNT3,0.04
IMPA2,0.04
AL158013.1,0.04
MAP1LC3A,0.04
MMP24OS,0.04
MARCH2,0.04
SSBP4,0.04
TMEM147,0.04
TBCB,0.04
CYP2S1,0.04
AP000696.2,0.04
FAM207A,0.04
MT.ND1,0.04
TMEM51.AS1,0.04
MARCKSL1,0.04
MFSD2A,0.04
L1TD1,0.04
HHLA3,0.04
ETNK2,0.04
PPM1G,0.04
B3GNT2,0.04
MRPS5,0.04
DBI,0.04
PDK1,0.04
CATIP.AS1,0.04
NCL,0.04
TBC1D23,0.04
NEPRO,0.04
NDUFB5,0.04
ANKRD18DP,0.04
CEP135,0.04
LPCAT1,0.04
GZMA,0.04
HIST1H1E,0.04
HIST1H2BH,0.04
HIST1H1B,0.04
PPP1R14C,0.04
MPC1,0.04
RPS6KA2,0.04
FAM126A,0.04
ZNHIT1,0.04
KDM7A,0.04
TMEM203,0.04
MRVI1.AS1,0.04
GANAB,0.04
VPS51,0.04
BANF1,0.04
KLHL35,0.04
TYSND1,0.04
RPL21P99,0.04
DDX11.AS1,0.04
AC008083.1,0.04
PEBP1,0.04
CIAO2A,0.04
CCDC33,0.04
HOMER2,0.04
PLA2G10,0.04
